"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-29",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"28",",,0","-1",",,0","1",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-30",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"18",",,0","1",",,0","12",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-01-31",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"35",",,0","5",",,0","29",",I,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-01",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"26",",I,0","10",",,0","15",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-02",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"25",",,0","7",",,0","20",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-03",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"31",",,0","17",",,0","25",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-04",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"44",",,0","25",",,0","31",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-05",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"47",",,0","28",",,0","36",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-06",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"43",",,0","18",",,0","19",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-07",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"42",",,0","18",",,0","28",",,0,0800",,,,
"USC00478229","STOUGHTON WWTP, WI US","42.9111","-89.21309","254.8","1993-02-08",,,,,,,"0.00","P,,0,0800","0.0","P,,0,",,,,,"40",",,0","20",",,0","20",",,0,0800",,,,
